Corps,1/1/1900,1/2/1900,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,,,,,,,,,,,,,,
7th Regiment,,,,,,,,,,20.8,21.6,,22.9,,,,,,,,,,,,,,,,,,23.1,,,,,,25.7,25.3,,,,,,,,,,,,,,
BDB,,20.2,20,20.4,,,,,,,,,,,,21.6,23.3,,,,,,24.5,25.2,26,,,,,,,,,,,,26.8,27.4,,,,,,,,,,,,,,
Blue Devils,,27.4,27.2,28.4,,,,,,30.4,31.2,,,,31.8,,32.4,,32.6,32.2,,,,,34.1,34,34.4,,,34.3,34.8,,35.2,,36.3,,36.1,36.75,,,,,,,,,,,,,,
Blue Knights,,24.2,24.8,25.1,,,,,26.5,26.7,26.5,,,,28.2,,28.4,,28.8,,,,28.9,29.7,30.3,,,31.3,31.7,,32.45,,32.4,33.8,,34.7,33.8,34.3,,,,,,,,,,,,,,
Blue Stars,,,23.5,,27.1,26.5,28.1,,28.5,27.5,28.2,,,25,,,28.9,29.2,,,,28.8,29.5,29.7,,29.7,,30.5,30.9,,31.75,,,31.9,34.3,,34.2,33.8,,,,,,,,,,,,,,
Bluecoats,28.9,,28.8,,29.5,29.5,,30.5,,29.8,31.4,,,,,31,31.4,,32.4,33.1,,,33.2,33.2,33.6,34,,,34.3,34.6,35.25,,35.1,,35.8,,36.5,37,,,,,,,,,,,,,,
Boston Crusaders,25.1,,25.3,,26.1,25.3,,26.4,,25.4,27.1,,28.4,,,26.2,27.7,,27.1,28.6,,,28.4,28.6,,29.1,,,29.2,,29.8,,30.8,,31.7,,32,31.53,,,,,,,,,,,,,,
Carolina Crown,28.1,,28,,28.7,,,,30.7,31,31.1,,,27.2,,,31.2,32,32.1,,,,,32.9,33.6,33.5,34.1,,34.3,34.6,34.8,,,35.6,,,36,36.35,,,,,,,,,,,,,,
Cascades,,,,,,,,,23,22.4,,,23.1,22.7,23,23.9,23.9,,24.5,,,,,,,,,25.6,25.7,,25.8,,,26.2,,,29.2,28.5,,,,,,,,,,,,,,
Colt Cadets,,,13,17.5,,,,,,16.6,20.8,,17.6,17.9,,,20.9,,19.7,19.1,,19.9,,23.4,20.7,,,,,,,,,,20.2,,19.6,20.8,,,,,,,,,,,,,,
Colts,,,22.51,24.3,24.8,,21,,25.9,26,26.8,,,23.2,,,25.2,,,27.5,26.9,25.7,,27.4,28.1,,,28.6,28.8,,29,,,29.5,,,31.4,30.9,,,,,,,,,,,,,,
Crossmen,,,26,,26.4,25.6,,26.7,,26,27.8,,28,,,27,27.2,,27.9,30,,,29.3,29.5,,,,30.7,30.9,30.4,31.15,,31.6,,33,33.3,,33.25,,,,,,,,,,,,,,
Genesis,,,,22.8,,23,24.3,,23.9,21.4,,,20.2,,,,,22.5,,,,23.6,23.7,24.6,,,25.4,,24.6,,25.8,,26,,24.9,,25.2,25.6,,,,,,,,,,,,,,
Gold,,,,,,,,,20.9,22,22.1,,,,21.1,,22,,,,,,,24,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,24.3,24.9,,,,,,,,,,,,,,,,,,
Impulse,,,,,,,,,17.9,19.5,17.9,,,,,,,,,,,,18.3,18.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey Surf,,,,,,,,22.3,,21.8,,,,,,22.4,23.2,,23.3,24.4,,,25.2,24.6,,24.7,,,25.7,,25.15,,,,28.2,28.8,,27.65,,,,,,,,,,,,,,
Legends,,,,,,21.8,22.5,,22.2,20.9,,,,,,20.9,21,,22.4,22.8,,,24.1,24.5,,,,,,,25.1,,,,,,27.2,27.6,,,,,,,,,,,,,,
Louisiana Stars,,,,,,,,,,,,,,,,,,,,,,,23.1,22.5,,,,,,,23,,,,,,,,,,,,,,,,,,,,,
Madison Scouts,,19.55,24.9,25.6,,,,,27,27.1,28.4,,28.2,,27.5,,,29.8,,,,,29.4,28.7,30,30.2,,,30.9,,31.35,,,,32.5,,33,32.8,,,,,,,,,,,,,,
Mandarins,,22,21.9,22.1,,,,,23.3,24.5,24.9,,,,,22.7,24.9,,,,,25.6,,26,,27.4,28.6,,28.2,,28.45,,,,31.2,,31.5,30.4,,,,,,,,,,,,,,
Music City,,,,,,,20.6,,,,22.6,,20.6,,,,,20.7,20.3,,,,24,23.9,,,,,,,,,,,,,26.4,,,,,,,,,,,,,,,
Oregon Crusaders,,,,,,,,,23.1,22.7,,,23.6,24.3,24.4,24.3,25.1,,25.6,,25.5,25.7,,25.6,25.8,,,26.3,27.5,,27.8,,,,32.2,,32.7,30.25,,,,,,,,,,,,,,
Pacific Crest,,21.6,21.3,22.1,,,,,25.3,23.9,24,,24.2,,24.2,,24.6,25,24.9,,,26.2,,25.3,,26.7,26.8,,27,,26.9,,,27.3,30.4,31,,29.05,,,,,,,,,,,,,,
Phantom Regiment,26,,26.6,,,27.4,,28.3,,27.5,29,,30.2,,,,29.1,,30.2,,,30.1,,30.6,30.6,31.2,,,32.1,31.5,32.6,,32.9,33.5,,,33.6,33.83,,,,,,,,,,,,,,
Pioneer,,,17.7,19.8,,18.9,21,,21.2,,22.3,,,19.3,,,21.6,22.3,,,,23.1,23.2,24.3,24.2,23,,23.6,,,,,,26.2,25.9,,26.6,25.4,,,,,,,,,,,,,,
Raiders,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,24,,,,,,,,,,,,,,
River City Rhythm,,,,,,,,,,,,,16.7,17.5,,,,,,,,,20.7,20.2,,,,,,,,,,,,,,22.5,,,,,,,,,,,,,,
Santa Clara Vanguard,,26.2,26.3,27.2,,,,,28.4,29,,,29.8,29.8,30.4,,30.9,,,31.2,31.9,31.9,,32.1,32.2,32.3,,,33.2,33.1,33.95,,,,,,35.1,35.55,,,,,,,,,,,,,,
SCVC,,20.4,20.5,20.9,,,,,,,,,,,,21.1,23.8,,,,,,25.2,25.9,26,,,,,,,,,,26,,26.8,27.5,,,,,,,,,,,,,,
Shadow,,,,,,,,,,,,,,,,,,18.5,18,,,,,,,,,,,,,,,,21.4,,21.6,,,,,,,,,,,,,,,
Spartans,,,,,,,,,21.8,20.7,21.9,,23.6,,,,,,,,,,,,,,,,,,24.3,,,,,,26.7,26.7,,,,,,,,,,,,,,
Spirit of Atlanta,,,,,,,,,,,,,,,,25.2,23.2,,23.3,24.4,,,27.1,26.6,,,27.6,27.7,28.2,,27.7,,,27.8,29.8,29.9,30.2,30.05,,,,,,,,,,,,,,
The Academy,,23.3,22.9,23.9,,,,,23.9,25.7,26.2,,27.3,,26.9,,27.9,29,27.9,,,28.2,,29,29.3,,30.9,,30.2,,30.6,,,32.4,32.6,33.6,,32.9,,,,,,,,,,,,,,
The Cadets,27.7,,26.4,27.9,,28.5,,29.2,,29.1,30.6,,31.3,,,30.1,30.2,,31.3,32.4,,,32.5,32.2,32.3,32.2,,32.9,33.2,32.5,33.3,,,,35.5,,34.7,34.9,,,,,,,,,,,,,,
The Cavaliers,26.9,,26,26.6,,28,29,,29.8,29.8,30.2,,,,,29.9,30.3,,31,,31.3,31.8,,31.9,31.6,32,,,32.4,32.4,33.55,,,34.4,34.5,35.1,,35.1,,,,,,,,,,,,,,
Troopers,,,22.8,25,,25.8,27,,26.9,25.8,27.2,,,,,26.7,26.9,,27.8,28,27.7,,,28.1,,28.3,29.3,,29.7,,29.75,,30.3,31.2,31.3,31.9,,31.93,,,,,,,,,,,,,,
